Attribute count,Type,Clothes,Ears,Mouth,Eyes,Hat,mint,rank
5,Orange,Green Smoking,Gold Earring,Pipe,Green Glasses,Green Top Hat,DLVWGbey9wifMWFCsA9r8YKA8kjDrocGzbFBwHnW8QtX,58
5,Red,Biker Vest,Silver Earring,Cigarette,Vr Glasses,Red Punk Hair,52wKDogmsDsdMqrWGcbxYcoK9zcjQKyfsKcM3XXYmCxS,59
3,Solana,White Shirt,None,Cigarette,None,Horns,7AKy3LiW6XcsLqTbcfDEMunBLbBVbxxKyed7naHpaHk7,60
4,Solana,Beige Smoking,None,Cigarette,Cool Glasses,Green Cap,HYdXJ6t4Gf5gp8UoLecbE2WDc4qT4NRwWQPmQ9dkB3Q4,61
3,Solana,Green Shirt,None,None,Purple Glasses,Green Beret,sdKHJfaSbAUyBBRfqF7RcA5MmwrJcoqZWRiJtddroTZ,62
3,Solana,Red Shirt,None,Vape,None,Blue Punk Hair,9rr9afZWtnGAUp4w19NbnT56bPBJCsYy4cbf7Hu3ZBZW,63
4,Purple,White Shirt,None,Pipe,Solana Vipers,Red Beret,Gk9A2rWYkoUkQdSqC5JLirpDoW4DHTUFxe2jJNhVMzFR,64
3,Solana,White Shirt,None,Pipe,None,Green Backwards Cap,8fZQGfZKntBirtvBvvcqk3qBhjqaLaMCiZK9UsGhN9cC,65
3,Solana,Orange Shirt,Silver Earring,None,None,Green Top Hat,H6PqUrBoUebWcuYbwqitAsBsLiNt9xxceYrU5PiXAfb2,66
2,Solana,Biker Vest,None,None,None,Firefighter Hat,H9kiTf4oaJqeBwaAECCYfTZUVgC73BPZeE5bvHyq9tV4,67
3,Solana,White Shirt,None,None,Vipers,White Fedora 1,ByT5wtnucJ8Gszz7tcbPavDFkiUGxUkUZ9CQG6DxmTx7,68
3,Solana,White Shirt,None,None,Vipers,Black Fedora 2,GdWUMvgyveFp1LLwSAxTbaHobuf15CYa7YEVg5X6e4uw,69
3,Solana,White Shirt,None,None,3d Glasses,Orange Backwards Cap,4Npj9TM3NHa6Hqo3hheh4eR1FavTF5AXkbgEKLuYXt13,70
4,Solana,White Shirt,Silver Earring,Cigarette,None,Black Backwards Cap,EypqEnSaQzr1vvFaLZuEmb8w7FCq34VGvp47gra9FEi6,71
2,Solana,None,None,Cigarette,None,Green Top Hat,BkhMttZcjx8iJ2dprgEUsremijtFP37BwRvdfUdQ6RLx,72
2,Solana,Black Smoking,None,None,None,Black Cap,5RWGprkDRx7r9XYt2AnDBXvZSmktHEn9FW4PoPmErwf3,73
5,Zombie,Black Smoking,Gold Earring,Cigarette,Vr Glasses,Cop Hat,2h2YS8EjCL5Hc2pgwjKa9RzkTjjnrgnG5kdrXFAVRAXP,74
3,Solana,Brown Jacket,None,Vape,None,White Headset,8nCRXEkaWT7XpsrpmF3QWyvwSsNEWYa25BE7NLy3Ty3H,75
3,Solana,Military Vest,None,None,Yellow Glasses,Black Fedora 1,VitDX6r8RKGpSQTEvuKrLUP2298vYTERrWhY793StJX,76
2,Solana,Orange Kimono,None,None,None,Black Top Hat,u9Y7DA82AhosBuHpz1HWy5uFLx52pdBPaPMcN1en9qX,77
1,Solana,None,None,None,None,Flower,HxRbQpJrkNyoWaRj7yshyF3bSTfrj5qXneMTiwPL1e8u,78
2,Solana,Green Shirt,None,None,None,Green Punk Hair,Dd6zTz53iAmavYUSHFvioBCi8pRR8gSuBf2LVuSmG1zj,79
5,Alien,Cop Vest,Gold Earring,Cigarette,Yellow Glasses,Cop Hat,Dv5vuyUeR2rdRZP5PYB5p46nHz4xUuxjd3aWyfN5rfbV,80
1,Solana,None,None,None,Vipers,None,Fsnw63zYcFXQaUi5nL5twtiHyQwh7kQozECqzSphiLoa,81
2,Solana,Military Vest,None,None,None,Black Backwards Cap,4iN67FXKDMQ2YxQttDWLC4Y26wb6GqgMeLRgvMphLANY,82
